"Logger","Week","Temp"
"HighChannel","2016-3",10.92
"HighChannel","2016-30",13.24
"HighChannel","2016-31",11.05
"HighChannel","2016-32",11.87
"HighChannel","2016-33",10.55
"HighChannel","2016-34",11.53
"HighChannel","2016-35",12.14
"HighChannel","2016-36",13.55
"HighChannel","2016-37",10.66
"HighChannel","2016-38",11.55
"HighChannel","2016-39",11.64
"HighChannel","2016-4",11.07
"HighChannel","2016-40",11.47
"HighChannel","2016-41",12.52
"HighChannel","2016-42",13.19
"HighChannel","2016-43",13.43
"HighChannel","2016-44",13.65
"HighChannel","2016-45",14.06
"HighChannel","2016-46",14.04
"HighChannel","2016-47",13.57
"HighChannel","2016-48",12.95
"HighChannel","2016-49",11.86
"HighChannel","2016-5",10.94
"HighChannel","2016-50",10.68
"HighChannel","2016-51",10.1
"HighChannel","2016-52",10.08
"HighChannel","2016-53",9.57
"HighChannel","2016-6",11.26
"HighChannel","2016-7",11.63
"HighChannel","2016-8",11.15
"HighChannel","2016-9",11.67
"HighChannel","2017-1",7.78
"HighChannel","2017-10",9.99
"HighChannel","2017-11",10.85
"HighChannel","2017-12",11.03
"HighChannel","2017-13",11
"HighChannel","2017-14",11.14
"HighChannel","2017-15",10.6
"HighChannel","2017-16",11.74
"HighChannel","2017-17",11.69
"HighChannel","2017-18",12.62
"HighChannel","2017-19",11.76
"HighChannel","2017-2",8.53
"HighChannel","2017-20",13.91
"HighChannel","2017-21",14.6
"HighChannel","2017-22",17.29
"HighChannel","2017-23",11.79
"HighChannel","2017-24",14.66
"HighChannel","2017-25",13.37
"HighChannel","2017-26",13.46
"HighChannel","2017-27",11.36
"HighChannel","2017-28",12.61
"HighChannel","2017-29",15.35
"HighChannel","2017-3",9.49
"HighChannel","2017-30",12.25
"HighChannel","2017-31",10.85
"HighChannel","2017-32",11.86
"HighChannel","2017-33",11.75
"HighChannel","2017-34",10.96
"HighChannel","2017-35",11.41
"HighChannel","2017-36",11.41
"HighChannel","2017-37",11.46
"HighChannel","2017-38",12.41
"HighChannel","2017-39",13.08
"HighChannel","2017-4",9.93
"HighChannel","2017-40",12.1
"HighChannel","2017-41",11.38
"HighChannel","2017-42",11.58
"HighChannel","2017-43",11.99
"HighChannel","2017-44",11.39
"HighChannel","2017-45",10.79
"HighChannel","2017-46",11.13
"HighChannel","2017-47",11.36
"HighChannel","2017-48",11.23
"HighChannel","2017-49",10.08
"HighChannel","2017-5",9.53
"HighChannel","2017-50",10.47
"HighChannel","2017-51",9.96
"HighChannel","2017-52",10.32
"HighChannel","2017-53",9.36
"HighChannel","2017-6",10.19
"HighChannel","2017-7",10.48
"HighChannel","2017-8",10.08
"HighChannel","2017-9",9.45
"HighChannel","2018-1",9.96
"HighChannel","2018-10",9.66
"HighChannel","2018-11",10.1
"HighChannel","2018-12",9.87
"HighChannel","2018-13",10.19
"HighChannel","2018-14",10.42
"HighChannel","2018-15",11.08
"HighChannel","2018-16",11.24
"HighChannel","2018-17",11.76
"HighChannel","2018-18",11.67
"HighChannel","2018-19",12.48
"HighChannel","2018-2",10.93
"HighChannel","2018-20",18.85
"HighChannel","2018-21",22.85
"HighChannel","2018-22",22.55
"HighChannel","2018-23",22.64
"HighChannel","2018-24",22.66
"HighChannel","2018-25",20.88
"HighChannel","2018-26",20.78
"HighChannel","2018-3",11
"HighChannel","2018-4",10.74
"HighChannel","2018-5",10.67
